Isolate_Id	Isolate_Name	Subtype	Host	Location	Collection_Date	Domestic_Status
EPI_ISL_1009706	A/wild bird/Korea/H379/2020	A / H5N8	Avian	Asia / Korea, Republic of / GB	2020-12-02	
EPI_ISL_985181	A/duck/Korea/H385/2020	A / H5N8	Avian	Asia / Korea, Republic of / JN	2020-12-04	
EPI_ISL_985182	A/chicken/Korea/H390/2020	A / H5N8	Avian	Asia / Korea, Republic of / GG	2020-12-06	
EPI_ISL_985183	A/quail/Korea/H394/2020	A / H5N8	Avian	Asia / Korea, Republic of / CB	2020-12-07	
EPI_ISL_985185	A/quail/Korea/H412/2020	A / H5N8	Avian	Asia / Korea, Republic of / GG	2020-12-08	
EPI_ISL_985186	A/duck/Korea/H419/2020	A / H5N8	Avian	Asia / Korea, Republic of / JN	2020-12-09	
EPI_ISL_985188	A/duck/Korea/H432/2020	A / H5N8	Avian	Asia / Korea, Republic of / JN	2020-12-10	
EPI_ISL_985189	A/duck/Korea/H438/2020	A / H5N8	Avian	Asia / Korea, Republic of / JN	2020-12-11	
EPI_ISL_985190	A/duck/Korea/H439/2020	A / H5N8	Avian	Asia / Korea, Republic of / JN	2020-12-11	
EPI_ISL_985192	A/chicken/Korea/H441/2020	A / H5N8	Avian	Asia / Korea, Republic of / JB	2020-12-14	
EPI_ISL_985195	A/chicken/Korea/H470/2020	A / H5N8	Avian	Asia / Korea, Republic of / GG	2020-12-16	
EPI_ISL_985198	A/chicken/Korea/H491/2020	A / H5N8	Avian	Asia / Korea, Republic of / GG	2020-12-21	
EPI_ISL_985200	A/duck/Korea/H509/2020	A / H5N8	Avian	Asia / Korea, Republic of / CB	2020-12-22	
EPI_ISL_1063533	A/Mandarin duck/Kagoshima/KU-d57/2020 	A / H5N8	Aix galericulata	Asia / Japan / Kagoshima	2020-12-22	Wild
EPI_ISL_985203	A/duck/Korea/H515/2020	A / H5N8	Avian	Asia / Korea, Republic of / JN	2020-12-23	
EPI_ISL_985208	A/duck/Korea/H528/2020	A / H5N8	Avian	Asia / Korea, Republic of / JB	2020-12-27	
EPI_ISL_985209	A/chicken/Korea/H531/2020	A / H5N8	Avian	Asia / Korea, Republic of / GG	2020-12-28	
EPI_ISL_985210	A/chicken/Korea/H532/2020	A / H5N8	Avian	Asia / Korea, Republic of / GG	2020-12-28	
EPI_ISL_1009679	A/duck/Korea/H007/2020	A / H5N8	Avian	Asia / Korea, Republic of / CN	2020-12-28	
EPI_ISL_1009684	A/duck/Korea/H548/2020	A / H5N8	Avian	Asia / Korea, Republic of / JB	2020-12-30	
EPI_ISL_387133	A/chicken/Zimbabwe/AI4935/2017	A / H5N8	Chicken	Africa / Zimbabwe	2017-05-25	
EPI_ISL_369336	A/chicken/South Africa/Villiers/2017	A / H5N8	Chicken	Africa / South Africa	2017-06-19	
EPI_ISL_369337	A/chicken/South Africa/Standerton/2017	A / H5N8	Chicken	Africa / South Africa	2017-06-20	
EPI_ISL_369338	A/chicken/South Africa/436893/2017	A / H5N8	Chicken	Africa / South Africa	2017-07-06	
EPI_ISL_381810	A/Egyptian goose/South Africa/001/2017	A / H5N8	Egyptian goose	Africa / South Africa	2017-07-13	
EPI_ISL_369340	A/chicken/South Africa/440638B/2017	A / H5N8	Chicken	Africa / South Africa	2017-08-01	
EPI_ISL_369339	A/chicken/South Africa/440638A/2017	A / H5N8	Chicken	Africa / South Africa	2017-08-01	
EPI_ISL_284197	A/Ostrich/South_Africa/S2017/08_0046_P2/2017	A / H5N8	Ostrich	Africa / South Africa / Province of the Western Cape	2017-08-03	
EPI_ISL_285488	A/Ostrich/South_Africa/S2017/08_0047_P7/2017	A / H5N8	Ostrich	Africa / South Africa / Province of the Western Cape	2017-08-03	
EPI_ISL_285604	A/Ostrich/South_Africa/S2017/08_0046_P3/2017	A / H5N8	Ostrich	Africa / South Africa / Province of the Western Cape	2017-08-03	
EPI_ISL_285650	A/Ostrich/South_Africa/S2017/08_0046_AF/2017	A / H5N8	Ostrich	Africa / South Africa / Province of the Western Cape	2017-08-03	
EPI_ISL_369341	A/chicken/South Africa/441587/2017	A / H5N8	Chicken	Africa / South Africa	2017-08-04	
EPI_ISL_369342	A/chicken/South Africa/MC002/2017	A / H5N8	Chicken	Africa / South Africa	2017-08-04	
EPI_ISL_369344	A/ostrich/South Africa/17080046/2017	A / H5N8	Ostrich	Africa / South Africa	2017-08-09	
EPI_ISL_285616	A/Ostrich/South_Africa/S2017/08_0161_P8/2017	A / H5N8	Ostrich	Africa / South Africa / Province of the Western Cape	2017-08-11	
EPI_ISL_381811	A/Speckled pigeon/South Africa/08-004B/2017	A / H5N8	Speckled pigeon	Africa / South Africa	2017-08-14	
EPI_ISL_381812	A/Sacred ibis/South Africa/009/2017	A / H5N8	Sacred ibis	Africa / South Africa	2017-08-15	
EPI_ISL_381814	A/Guinea fowl/South Africa/17080274/2017	A / H5N8	Guinea fowl	Africa / South Africa	2017-08-16	
EPI_ISL_285610	A/Guineafowl/South_Africa/S2017/08_0274_P1/2017	A / H5N8	Guineafowl	Africa / South Africa / Province of the Western Cape	2017-08-16	
EPI_ISL_285617	A/Guineafowl/South_Africa/S2017/08_0243_P1/2017	A / H5N8	Guineafowl	Africa / South Africa / Province of the Western Cape	2017-08-16	
EPI_ISL_369345	A/chicken/South Africa/443397/2017	A / H5N8	Chicken	Africa / South Africa	2017-08-17	
EPI_ISL_284196	A/Pigeon/South_Africa/S2017/08_0324_24/2017	A / H5N8	Other avian	Africa / South Africa / Province of the Western Cape	2017-08-18	
EPI_ISL_369346	A/chicken/South Africa/17080336/2017	A / H5N8	Chicken	Africa / South Africa	2017-08-21	
EPI_ISL_284004	A/Chicken/South_Africa/S2017/08_0336_P3/2017	A / H5N8	Gallus gallus domesticus	Africa / South Africa / Province of the Western Cape	2017-08-21	Domestic
EPI_ISL_369347	A/Pekin duck/South Africa/17080340/2017	A / H5N8	Anas platyrhynchos	Africa / South Africa	2017-08-22	
EPI_ISL_284198	A/Ostrich/South_Africa/S2017/08_0361_P17/2017	A / H5N8	Ostrich	Africa / South Africa / Province of the Western Cape	2017-08-22	
EPI_ISL_285480	A/Ostrich/South_Africa/S2017/08_0362_P10/2017	A / H5N8	Ostrich	Africa / South Africa / Province of the Western Cape	2017-08-22	Domestic
EPI_ISL_285608	A/Ostrich/South_Africa/S2017/08_0362_P8_33/2017	A / H5N8	Ostrich	Africa / South Africa / Province of the Western Cape	2017-08-22	
EPI_ISL_285618	A/Ostrich/South_Africa/S2017/08_0362_P7/2017	A / H5N8	Ostrich	Africa / South Africa / Province of the Western Cape	2017-08-22	
EPI_ISL_285918	A/Ostrich/South_Africa/S2017/08_0362_P8_34/2017	A / H5N8	Ostrich	Africa / South Africa / Province of the Western Cape	2017-08-22	
EPI_ISL_285606	A/Duck/South_Africa/S2017/08_0340_P1/2017	A / H5N8	Duck	Africa / South Africa / Province of the Western Cape	2017-08-22	
EPI_ISL_285623	A/Chicken/South_Africa/S2017/08_0416_38/2017	A / H5N8	Chicken	Africa / South Africa / Province of the Western Cape	2017-08-23	
EPI_ISL_285625	A/Duck/South_Africa/S2017/08_0481_P2/2017	A / H5N8	Duck	Africa / South Africa / Province of the Western Cape	2017-08-24	
EPI_ISL_369349	A/Swan/South Africa/17080517/2017	A / H5N8	Swan	Africa / South Africa	2017-08-28	
EPI_ISL_285647	A/Geese/South_Africa/S2017/08_0520_46/2017	A / H5N8	Goose	Africa / South Africa / Province of the Western Cape	2017-08-28	
EPI_ISL_285627	A/Swan/South_Africa/S2017/08_0517_P2/2017	A / H5N8	Swan	Africa / South Africa / Province of the Western Cape	2017-08-28	
EPI_ISL_285609	A/Geese/South_Africa/S2017/08_0558_P2/2017	A / H5N8	Goose	Africa / South Africa / Province of the Western Cape	2017-08-29	Domestic
EPI_ISL_285658	A/Chicken/South_Africa/S2017/08_0561_P1/2017	A / H5N8	Gallus gallus domesticus	Africa / South Africa / Province of the Western Cape	2017-08-29	
EPI_ISL_369352	A/chicken/South Africa/17090050/2017	A / H5N8	Chicken	Africa / South Africa	2017-09-04	
EPI_ISL_378312	A/Domestic goose/South Africa/17090065/2017	A / H5N8	Domestic goose	Africa / South Africa	2017-09-04	
EPI_ISL_284692	A/Geese/South_Africa/S2017/09_0055_P2/2017	A / H5N8	Goose	Africa / South Africa / Province of the Western Cape	2017-09-04	Domestic
EPI_ISL_285601	A/Geese/South_Africa/S2017/09_0065_P1/2017	A / H5N8	Goose	Africa / South Africa / Province of the Western Cape	2017-09-04	
EPI_ISL_285602	A/Geese/South_Africa/S2017/09_0065_P2/2017	A / H5N8	Goose	Africa / South Africa / Province of the Western Cape	2017-09-04	
EPI_ISL_285648	A/Geese/South_Africa/S2017/09_0055_P1/2017	A / H5N8	Goose	Africa / South Africa / Province of the Western Cape	2017-09-04	
EPI_ISL_369353	A/chicken/South Africa/17090100/2017	A / H5N8	Chicken	Africa / South Africa	2017-09-06	
EPI_ISL_285649	A/Chicken/South_Africa/S2017/09_0184_63/2017	A / H5N8	Gallus gallus domesticus	Africa / South Africa / Province of the Western Cape	2017-09-08	
EPI_ISL_369355	A/chicken/South Africa/448475/2017	A / H5N8	Chicken	Africa / South Africa	2017-09-12	
EPI_ISL_369357	A/chicken/South Africa/449300/2017	A / H5N8	Chicken	Africa / South Africa	2017-09-16	
EPI_ISL_369358	A/chicken/South Africa/17090348/2017	A / H5N8	Chicken	Africa / South Africa	2017-09-18	
EPI_ISL_369361	A/chicken/South Africa/17090335/2017	A / H5N8	Chicken	Africa / South Africa	2017-09-18	
EPI_ISL_369362	A/turkey/South Africa/450199/2017	A / H5N8	Turkey	Africa / South Africa	2017-09-19	
EPI_ISL_369366	A/ostrich/South Africa/002/2017	A / H5N8	Ostrich	Africa / South Africa	2017-10-26	
EPI_ISL_505431	A/quail/South Africa/AI5930/2018	A / H5N8	Quail	Africa / South Africa	2018-04-06	
EPI_ISL_505432	A/chicken/South Africa/499723/2018	A / H5N8	Chicken	Africa / South Africa	2018-06-06	
EPI_ISL_405278	A/guinea_fowl/Nigeria/OG-GF11T_19VIR8424-7/2019_H5N8	A / H5N8	Guineafowl	Africa / Nigeria / Ogun State	2019-07-05	Domestic
EPI_ISL_525459	A/laying_hen/Poland/312/2020	A / H5N8	Chicken	Europe / Poland	2020-03-05	
